"subject","activity_class","activity_label","mean","standard_deviation"
21,3,"WALKING_DOWNSTAIRS",-0.291301975673511,0.475622056333089
21,4,"SITTING",-0.644724493205524,0.534193252488579
21,5,"STANDING",-0.638450214241584,0.528022506329555
21,6,"LAYING",-0.63110876443376,0.543398484551232
22,1,"WALKING",-0.274200987116311,0.460010818917144
22,2,"WALKING_UPSTAIRS",-0.305185521541175,0.468928019106076
22,3,"WALKING_DOWNSTAIRS",-0.287664837258693,0.477672679039378
22,4,"SITTING",-0.634015600138589,0.532022049722643
22,5,"STANDING",-0.635992094486953,0.529999769322386
22,6,"LAYING",-0.632109081483277,0.534082415245892
23,1,"WALKING",-0.265296718829829,0.464098141308726
23,2,"WALKING_UPSTAIRS",-0.369581312588007,0.467164879388163
23,3,"WALKING_DOWNSTAIRS",-0.20246554081645,0.4574307312881
23,4,"SITTING",-0.632843540612456,0.543059200310429
23,5,"STANDING",-0.637024168810267,0.531088424136574
23,6,"LAYING",-0.628089473591726,0.551576627950253
24,1,"WALKING",-0.416975175176002,0.473945996502654
24,2,"WALKING_UPSTAIRS",-0.43583828688532,0.474251576812081
24,3,"WALKING_DOWNSTAIRS",-0.359085991984149,0.472990421003547
24,4,"SITTING",-0.646619496620551,0.526925830839725
24,5,"STANDING",-0.634194893841734,0.53344655282101
24,6,"LAYING",-0.634203387560794,0.541737906273239
25,1,"WALKING",-0.460842122215599,0.482757503377511
25,2,"WALKING_UPSTAIRS",-0.48551223324769,0.493089266961923
25,3,"WALKING_DOWNSTAIRS",-0.429924410531157,0.48048742191466
25,4,"SITTING",-0.645307467575153,0.534204894318477
25,5,"STANDING",-0.645297950751058,0.528500727750385
25,6,"LAYING",-0.589506698496036,0.545450415711338
26,1,"WALKING",-0.392008755561813,0.465080130468016
26,2,"WALKING_UPSTAIRS",-0.41167278243368,0.480136846789247
26,3,"WALKING_DOWNSTAIRS",-0.322473123490661,0.467151493916604
26,4,"SITTING",-0.642718508921569,0.538163762448172
26,5,"STANDING",-0.644004547265191,0.533694523050013
26,6,"LAYING",-0.640679888089531,0.545536215521252
27,1,"WALKING",-0.377771272094104,0.468490345338959
27,2,"WALKING_UPSTAIRS",-0.426267052017458,0.48671284301688
27,3,"WALKING_DOWNSTAIRS",-0.312446129792811,0.47435384225082
27,4,"SITTING",-0.647329814034974,0.533984958770938
27,5,"STANDING",-0.644356212162637,0.535052504532977
27,6,"LAYING",-0.645993647892745,0.539991225164833
28,1,"WALKING",-0.393787255237739,0.468082416558165
28,2,"WALKING_UPSTAIRS",-0.401092965937606,0.473584351968701
28,3,"WALKING_DOWNSTAIRS",-0.291650876955502,0.46256315184821
28,4,"SITTING",-0.637322526513564,0.523550153103677
28,5,"STANDING",-0.627883524309929,0.519990161399115
28,6,"LAYING",-0.640518710327799,0.530976406623764
29,1,"WALKING",-0.352894943404783,0.459750416503951
29,2,"WALKING_UPSTAIRS",-0.364429747315138,0.485009059372236
29,3,"WALKING_DOWNSTAIRS",-0.31726279115201,0.466798126904517
29,4,"SITTING",-0.644100724926612,0.54030786087254
29,5,"STANDING",-0.650245278868483,0.536209908171482
29,6,"LAYING",-0.646324698842316,0.547384622922697
30,1,"WALKING",-0.373607524126774,0.458741626903586
30,2,"WALKING_UPSTAIRS",-0.439370730188029,0.489520080840848
30,3,"WALKING_DOWNSTAIRS",-0.358790607945901,0.464525701807421
30,4,"SITTING",-0.646017901904583,0.532835681402282
30,5,"STANDING",-0.630635453342216,0.527699114956464
30,6,"LAYING",-0.642625296795821,0.529010124054845
